Merkur;0.387099;0.2056;7.00;87.969;115.88;2439;0.0;0.05527;5.43;3.7;0
Vénusz;0.723332;0.0068;3.39;224.70;583.92;6051;0.0000;0.81499;5.25;8.87;90
Föld;1.000000;0.0167;0.01;365.256;0;6378.14;0.00335529;1.00000;5.52;8.92;1.0
Mars;1.523688;0.0933;1.85;686.980;779.94;3397;0.0074;0.10745;3.93;3.71;0.007
Jupiter;5.202833481;0.048;1.31;4332.589;398.88;71492;0.06487;317.894;1.33;23.12;0
Szaturnusz;9.538762055;0.056;2.49;15759.22;378.09;60268;0.09796;95.1843;0.71;8.96;0
Uránusz;19.19139128;0.046;0.77;30685.4;369.66;25559;0.02293;14.5373;1.24;8.69;0
Neptunusz;30.06106906;0.010;1.77;60189;367.49;24764;0.0171;17.1321;1.67;10.1;0
Plútó;39.52940243;0.248;17.15;90465;366.73;1123;0;0.02561;1.89;0.72;0
